file_name,label
199intensity_frame_good.npz,1
19intensity_frame_bad.npz,0
1intensity_frame_good.npz,1
200intensity_frame_good.npz,1
201intensity_frame_good.npz,1
205intensity_frame_good.npz,1
206intensity_frame_good.npz,1
207intensity_frame_good.npz,1
208intensity_frame_good.npz,1
209intensity_frame_good.npz,1
20intensity_frame_bad.npz,0
210intensity_frame_good.npz,1
212intensity_frame_good.npz,1
213intensity_frame_good.npz,1
214intensity_frame_good.npz,1
215intensity_frame_good.npz,1
217intensity_frame_good.npz,1
218intensity_frame_good.npz,1
219intensity_frame_good.npz,1
21intensity_frame_bad.npz,0
21intensity_frame_good.npz,1
220intensity_frame_good.npz,1
221intensity_frame_good.npz,1
222intensity_frame_good.npz,1
224intensity_frame_good.npz,1
22intensity_frame_bad.npz,0
22intensity_frame_good.npz,1
23intensity_frame_bad.npz,0
23intensity_frame_good.npz,1
24intensity_frame_bad.npz,0
24intensity_frame_good.npz,1
25intensity_frame_bad.npz,0
25intensity_frame_good.npz,1
26intensity_frame_good.npz,1
27intensity_frame_bad.npz,0
27intensity_frame_good.npz,1
28intensity_frame_bad.npz,0
29intensity_frame_bad.npz,0
29intensity_frame_good.npz,1
2intensity_frame_bad.npz,0
2intensity_frame_good.npz,1
30intensity_frame_bad.npz,0
30intensity_frame_good.npz,1
31intensity_frame_bad.npz,0
31intensity_frame_good.npz,1
32intensity_frame_good.npz,1
33intensity_frame_bad.npz,0
33intensity_frame_good.npz,1
34intensity_frame_bad.npz,0
34intensity_frame_good.npz,1
35intensity_frame_bad.npz,0
35intensity_frame_good.npz,1
36intensity_frame_bad.npz,0
36intensity_frame_good.npz,1
37intensity_frame_good.npz,1
38intensity_frame_bad.npz,0
38intensity_frame_good.npz,1
39intensity_frame_bad.npz,0
3intensity_frame_bad.npz,0
3intensity_frame_good.npz,1
40intensity_frame_good.npz,1
41intensity_frame_bad.npz,0
41intensity_frame_good.npz,1
42intensity_frame_bad.npz,0
42intensity_frame_good.npz,1
43intensity_frame_bad.npz,0
43intensity_frame_good.npz,1
44intensity_frame_bad.npz,0
44intensity_frame_good.npz,1
45intensity_frame_good.npz,1
46intensity_frame_bad.npz,0
46intensity_frame_good.npz,1
47intensity_frame_bad.npz,0
48intensity_frame_bad.npz,0
48intensity_frame_good.npz,1
49intensity_frame_good.npz,1
4intensity_frame_bad.npz,0
4intensity_frame_good.npz,1
50intensity_frame_bad.npz,0
50intensity_frame_good.npz,1
51intensity_frame_good.npz,1
52intensity_frame_bad.npz,0
52intensity_frame_good.npz,1
53intensity_frame_good.npz,1
54intensity_frame_good.npz,1
55intensity_frame_bad.npz,0
55intensity_frame_good.npz,1
56intensity_frame_bad.npz,0
56intensity_frame_good.npz,1
57intensity_frame_good.npz,1
58intensity_frame_bad.npz,0
58intensity_frame_good.npz,1
59intensity_frame_bad.npz,0
59intensity_frame_good.npz,1
5intensity_frame_bad.npz,0
60intensity_frame_bad.npz,0
61intensity_frame_bad.npz,0
62intensity_frame_bad.npz,0
62intensity_frame_good.npz,1
63intensity_frame_bad.npz,0
63intensity_frame_good.npz,1
64intensity_frame_bad.npz,0
64intensity_frame_good.npz,1
65intensity_frame_bad.npz,0
65intensity_frame_good.npz,1
66intensity_frame_bad.npz,0
66intensity_frame_good.npz,1
67intensity_frame_bad.npz,0
67intensity_frame_good.npz,1
68intensity_frame_bad.npz,0
68intensity_frame_good.npz,1
69intensity_frame_bad.npz,0
69intensity_frame_good.npz,1
6intensity_frame_bad.npz,0
6intensity_frame_good.npz,1
70intensity_frame_bad.npz,0
70intensity_frame_good.npz,1
71intensity_frame_bad.npz,0
72intensity_frame_bad.npz,0
72intensity_frame_good.npz,1
73intensity_frame_bad.npz,0
74intensity_frame_bad.npz,0
74intensity_frame_good.npz,1
75intensity_frame_bad.npz,0
76intensity_frame_bad.npz,0
76intensity_frame_good.npz,1
77intensity_frame_bad.npz,0
77intensity_frame_good.npz,1
78intensity_frame_bad.npz,0
78intensity_frame_good.npz,1
79intensity_frame_bad.npz,0
7intensity_frame_good.npz,1
80intensity_frame_bad.npz,0
80intensity_frame_good.npz,1
81intensity_frame_bad.npz,0
81intensity_frame_good.npz,1
82intensity_frame_good.npz,1
83intensity_frame_bad.npz,0
84intensity_frame_good.npz,1
85intensity_frame_good.npz,1
86intensity_frame_good.npz,1
87intensity_frame_bad.npz,0
88intensity_frame_bad.npz,0
88intensity_frame_good.npz,1
89intensity_frame_bad.npz,0
89intensity_frame_good.npz,1
8intensity_frame_bad.npz,0
8intensity_frame_good.npz,1
90intensity_frame_bad.npz,0
90intensity_frame_good.npz,1
91intensity_frame_bad.npz,0
91intensity_frame_good.npz,1
92intensity_frame_bad.npz,0
93intensity_frame_good.npz,1
94intensity_frame_bad.npz,0
94intensity_frame_good.npz,1
95intensity_frame_bad.npz,0
95intensity_frame_good.npz,1
96intensity_frame_bad.npz,0
98intensity_frame_bad.npz,0
99intensity_frame_bad.npz,0
99intensity_frame_good.npz,1
9intensity_frame_bad.npz,0
